2025-05-02 01:29:00.530 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket客户端入站通道拦截器配置完成
2025-05-02 01:29:00.538 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket消息代理
2025-05-02 01:29:00.538 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket消息代理配置完成
2025-05-02 01:29:00.701 [main] INFO  c.e.auth.config.WebSocketConfig - 注册WebSocket端点: /ws
2025-05-02 01:29:00.744 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-02 01:29:00.792 [main] INFO  com.example.auth.config.WebConfig - 配置拦截器，验证用户权限
2025-05-02 01:29:00.795 [main] INFO  com.example.auth.config.WebConfig - 配置CORS，允许前端访问
2025-05-02 01:29:00.796 [main] INFO  com.example.auth.config.WebConfig - CORS配置完成，允许所有来源访问
2025-05-02 01:29:00.853 [main] INFO  com.example.auth.config.WebConfig - 配置资源映射: /uploads/** -> file:C:\Users\37602\Desktop\template\uploads/
2025-05-02 01:29:00.969 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-02 01:29:00.983 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-05-02 01:29:00.984 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-05-02 01:29:00.985 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@2fb8d338]]
2025-05-02 01:29:00.985 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-05-02 01:29:00.989 [main] INFO  com.example.auth.AuthApplication - Started AuthApplication in 8.848 seconds (process running for 9.353)
2025-05-02 01:29:06.974 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2025-05-02 01:29:06.975 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@2fb8d338]]
2025-05-02 01:29:06.975 [SpringApplicationShutdownHook] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2025-05-02 01:29:06.993 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-05-02 01:29:06.999 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-05-02 11:31:46.475 [main] INFO  com.example.auth.AuthApplication - Starting AuthApplication using Java 17.0.12 with PID 56564 (C:\Users\37602\Desktop\template\Manage_supervision\backend\target\classes started by 37602 in C:\Users\37602\Desktop\template)
2025-05-02 11:31:46.477 [main] INFO  com.example.auth.AuthApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-02 11:31:47.000 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-02 11:31:47.058 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 5 JPA repository interfaces.
2025-05-02 11:31:47.423 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-05-02 11:31:47.432 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-02 11:31:47.433 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-02 11:31:47.434 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-05-02 11:31:47.476 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-02 11:31:47.476 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 960 ms
2025-05-02 11:31:47.590 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-02 11:31:47.650 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-05-02 11:31:47.683 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-02 11:31:47.930 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-02 11:31:48.762 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@347123dc
2025-05-02 11:31:48.765 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-02 11:31:48.968 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-02 11:31:48.969 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-05-02 11:31:49.757 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-02 11:31:51.977 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-02 11:31:54.295 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket客户端入站通道拦截器
2025-05-02 11:31:54.297 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket客户端入站通道拦截器配置完成
2025-05-02 11:31:54.305 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket消息代理
2025-05-02 11:31:54.306 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket消息代理配置完成
2025-05-02 11:31:54.341 [main] INFO  c.e.auth.config.WebSocketConfig - 注册WebSocket端点: /ws
2025-05-02 11:31:54.396 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-02 11:31:54.449 [main] INFO  com.example.auth.config.WebConfig - 配置拦截器，验证用户权限
2025-05-02 11:31:54.452 [main] INFO  com.example.auth.config.WebConfig - 配置CORS，允许前端访问
2025-05-02 11:31:54.452 [main] INFO  com.example.auth.config.WebConfig - CORS配置完成，允许所有来源访问
2025-05-02 11:31:54.518 [main] INFO  com.example.auth.config.WebConfig - 配置资源映射: /uploads/** -> file:C:\Users\37602\Desktop\template\uploads/
2025-05-02 11:31:54.637 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-02 11:31:54.651 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-05-02 11:31:54.653 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-05-02 11:31:54.653 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@288c6f9]]
2025-05-02 11:31:54.653 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-05-02 11:31:54.657 [main] INFO  com.example.auth.AuthApplication - Started AuthApplication in 8.648 seconds (process running for 9.203)
2025-05-02 11:32:54.647 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
